PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=383 ms
1440 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=6 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=7 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=10 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=14 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=24 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=27 ttl=64 time=181 ms
1440 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=181 ms
