PING 10.0.0.6 (10.0.0.6) 1432(1460) bytes of data.
1440 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=384 ms
1440 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=188 ms
1440 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=185 ms
1440 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=187 ms
1440 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=184 ms
1440 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=374 ms
1440 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=184 ms
1440 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=187 ms
1440 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=188 ms
1440 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=188 ms
1440 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=183 ms
