PING 10.0.0.6 (10.0.0.6) 1432(1460) bytes of data.
1440 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=185 ms
1440 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=187 ms
1440 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=185 ms
1440 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=184 ms
1440 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=184 ms
1440 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=185 ms
1440 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=187 ms
1440 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=185 ms
1440 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=184 ms
1440 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=184 ms
1440 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=183 ms
