PING 10.0.0.4 (10.0.0.4) 1432(1460) bytes of data.
1440 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=372 ms
1440 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=186 ms
1440 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=182 ms
1440 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=192 ms
1440 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=194 ms
1440 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=191 ms
1440 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=187 ms
1440 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=189 ms
1440 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=182 ms
