PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=376 ms
1440 bytes from 10.0.0.5: icmp_seq=2 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=186 ms
1440 bytes from 10.0.0.5: icmp_seq=14 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=15 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=24 ttl=64 time=188 ms
1440 bytes from 10.0.0.5: icmp_seq=26 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=28 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=29 ttl=64 time=183 ms
